,2,23,31,3,10,44,4,21,33,9,11,20,45,46,47
67,0.7301,0.7059,0.7294,0.7653,0.789,0.7914,0.7437,0.7252,0.6776,0.8208,0.6268,0.8131,0.719,0.7784,0.764
68,0.7424,0.7194,0.7419,0.7762,0.799,0.8024,0.7559,0.7382,0.6934,0.8294,0.6335,0.822,0.7319,0.7885,0.7759
69,0.7547,0.733,0.7544,0.7871,0.809,0.8134,0.768,0.7512,0.7091,0.838,0.6402,0.8309,0.7449,0.7986,0.7878
70,0.7671,0.7465,0.7669,0.798,0.8191,0.8243,0.7802,0.7642,0.7249,0.8466,0.6469,0.8398,0.7578,0.8087,0.7997
71,0.7794,0.7601,0.7794,0.809,0.8291,0.8353,0.7923,0.7772,0.7406,0.8552,0.6536,0.8487,0.7708,0.8188,0.8117
72,0.7917,0.7736,0.7919,0.8199,0.8391,0.8463,0.8045,0.7902,0.7564,0.8638,0.6603,0.8575,0.7838,0.8289,0.8236
73,0.8148,0.7988,0.815,0.8399,0.857,0.8634,0.8262,0.8136,0.7835,0.879,0.6981,0.8734,0.8078,0.8479,0.8432
74,0.838,0.8239,0.8381,0.8599,0.8749,0.8805,0.8479,0.8369,0.8105,0.8941,0.7358,0.8892,0.8318,0.8669,0.8628
75,0.8611,0.8491,0.8612,0.8799,0.8927,0.8975,0.8697,0.8602,0.8376,0.9092,0.7736,0.905,0.8558,0.8859,0.8824
76,0.8843,0.8742,0.8844,0.8999,0.9106,0.9146,0.8914,0.8835,0.8647,0.9243,0.8113,0.9209,0.8799,0.905,0.902
77,0.9074,0.8994,0.9075,0.9199,0.9285,0.9317,0.9131,0.9068,0.8917,0.9395,0.849,0.9367,0.9039,0.924,0.9216
78,0.9306,0.9245,0.9306,0.94,0.9464,0.9488,0.9348,0.9301,0.9188,0.9546,0.8868,0.9525,0.9279,0.943,0.9412
79,0.9537,0.9497,0.9537,0.96,0.9642,0.9658,0.9566,0.9534,0.9459,0.9697,0.9245,0.9683,0.9519,0.962,0.9608
80,0.9769,0.9748,0.9769,0.98,0.9821,0.9829,0.9783,0.9767,0.9729,0.9849,0.9623,0.9842,0.976,0.981,0.9804
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
