,0,14,30,6,18,34,7,8,15,35,36,37,38,39,40,41,42,43
26,0.3341,0.3889,0.3984,0.3809,0.3826,0.3802,0.3476,0.3852,0.3557,0.3563,0.3606,0.3769,0.3599,0.3047,0.3666,0.3505,0.3305,0.3891
27,0.341,0.3981,0.4061,0.3888,0.3908,0.3888,0.3554,0.3937,0.3644,0.3649,0.3697,0.3852,0.3674,0.3107,0.3741,0.3586,0.3379,0.3971
28,0.3466,0.4068,0.413,0.3959,0.398,0.3964,0.3626,0.4021,0.3731,0.3725,0.3776,0.3914,0.375,0.316,0.3808,0.3663,0.3449,0.4046
29,0.3521,0.4155,0.4199,0.4029,0.4052,0.4041,0.3699,0.4104,0.3817,0.3801,0.3855,0.3976,0.3826,0.3213,0.3876,0.374,0.3518,0.4122
30,0.3577,0.4241,0.4268,0.41,0.4125,0.4118,0.3771,0.4188,0.3904,0.3877,0.3934,0.4038,0.3902,0.3267,0.3944,0.3816,0.3587,0.4197
31,0.3632,0.4328,0.4336,0.417,0.4197,0.4194,0.3843,0.4272,0.399,0.3953,0.4012,0.41,0.3978,0.332,0.4011,0.3893,0.3657,0.4273
32,0.3688,0.4415,0.4405,0.4241,0.4269,0.4271,0.3916,0.4355,0.4076,0.4029,0.4091,0.4162,0.4054,0.3373,0.4079,0.397,0.3726,0.4348
33,0.3744,0.4502,0.4474,0.4312,0.4341,0.4347,0.3988,0.4439,0.4163,0.4105,0.417,0.4224,0.413,0.3427,0.4147,0.4046,0.3796,0.4424
34,0.3799,0.4589,0.4543,0.4382,0.4414,0.4424,0.4061,0.4522,0.4249,0.4181,0.4249,0.4285,0.4206,0.348,0.4214,0.4123,0.3865,0.4499
35,0.3855,0.4676,0.4611,0.4453,0.4486,0.45,0.4133,0.4606,0.4336,0.4256,0.4328,0.4347,0.4282,0.3533,0.4282,0.42,0.3935,0.4575
36,0.391,0.4762,0.468,0.4523,0.4558,0.4577,0.4206,0.469,0.4422,0.4332,0.4406,0.4409,0.4358,0.3587,0.4349,0.4277,0.4004,0.465
37,0.3962,0.4843,0.4753,0.4596,0.4632,0.4651,0.4292,0.4774,0.451,0.4406,0.4484,0.4465,0.4436,0.3673,0.4453,0.4365,0.4093,0.4733
